matchPeriod,Passes,Successful_passes,Unsuccessful_passes,Crosses,Successful_crosses,Unsuccessful_crosses,Long_passes,Long_passes_won,Long_passes_lost,Aerial,Aerial_won,Aerial_lost,Ground_duels,Ground_duels_won,Ground_duels_lost,Free_kicks,Fouls_received,Corners,Corners_successful,Corners_unsuccessful,Interceptions,Saves,Clearances,Shots,Shots_on_target,Shots_off_target,Goals,Goals_from_penalty,Yellow_card,Red_card,PlayerType,gender
2H,54,52,2,0,0,0,2,1,1,1,0,1,5,2,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,Midfielder,1
2H,5,4,1,0,0,0,1,1,0,4,0,4,6,1,2,1,1,0,0,0,6,0,5,0,0,0,0,0,0,0,Defender,1
2H,22,15,7,6,1,5,1,1,0,2,1,1,5,1,4,3,1,0,0,0,3,0,0,0,0,0,0,0,1,0,Defender,1
1H,9,6,3,2,0,2,0,0,0,5,1,4,20,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,4,2,2,0,0,0,1,1,0,2,2,0,1,0,1,0,0,0,0,0,4,0,2,3,0,3,0,0,0,0,Defender,1
1H,26,21,5,2,1,1,1,0,1,0,0,0,8,4,1,6,1,0,0,0,2,0,1,0,0,0,0,0,0,0,Defender,1
1H,21,16,5,1,0,1,0,0,0,0,0,0,10,5,3,0,0,0,0,0,2,0,0,5,2,3,0,0,0,0,Forward,1
E1,5,4,1,0,0,0,0,0,0,2,2,0,4,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,ForwardSubstitute,1
1H,5,5,0,0,0,0,1,1,0,1,1,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Goalkeeper,1
2H,27,25,2,0,0,0,1,1,0,2,1,1,6,3,2,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,Forward,1
2H,28,24,4,4,1,3,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,1
2H,22,21,1,1,1,0,3,2,1,1,0,1,13,8,4,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Defender,1
2H,3,2,1,0,0,0,0,0,0,3,1,2,4,1,2,0,2,0,0,0,1,0,0,3,2,1,0,0,0,0,Forward,1
1H,15,14,1,0,0,0,0,0,0,3,2,1,8,3,3,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,Midfielder,1
2H,6,4,2,1,1,0,0,0,0,0,0,0,6,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,MidfielderSubstitute,1
1H,10,8,2,1,0,1,0,0,0,8,5,3,3,3,0,0,1,0,0,0,0,0,0,3,2,1,0,0,1,0,Forward,1
1H,13,10,3,0,0,0,0,0,0,0,0,0,11,3,6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Midfielder,1
