matchId,playerId,PlayerName
1694401,101705,AleksandrKokorin
1694423,70134,Rui Pedrodos Santos Patr\u00edcio
1694399,8436,DavidEdwards
1694410,7882,Petr\u010cech
1694426,25537,GrzegorzKrychowiak
1694437,57226,Hannes \u00de\u00f3rHalld\u00f3rsson
1694434,3305,Kl\u00e9perLaveran Lima Ferreira
1694440,258162,Renato J\u00faniorLuz Sanches
1694437,51127,Ari FreyrSk\u00falason
1694392,83574,Anton CiprianT\u0103t\u0103ru\u0219anu
1694420,15200,\u00c1d\u00e1mSzalai
1694436,14855,BenediktH\u00f6wedes
1694398,101669,ArtemDzyuba
1694406,105328,OlexandrKucher
1694440,70134,Rui Pedrodos Santos Patr\u00edcio
1694431,101690,Bal\u00e1zsDzsudzs\u00e1k
1694390,105330,R\u0103zvan Dinc\u0103Ra\u021b
1694425,64972,FlorianKlein
1694411,3324,\u00c1lvaro BorjaMorata Mart\u00edn
1694399,77548,JoeAllen
1694390,70090,Ionu\u021b CristianS\u0103punaru
1694411,32642,Hakan KadirBalta
1694407,9525,NiallMcGinn
1694406,99438,Micha\u0142Pazdan
1694426,99452,ArkadiuszMilik
1694418,20459,LeonardoBonucci
1694428,105332,DarijoSrna
1694434,3322,Cristiano Ronaldodos Santos Aveiro
1694418,25421,SalvatoreSirigu
1694394,231139,KingsleyComan
1694426,50102,Fabian LukasSch\u00e4r
1694392,105330,R\u0103zvan Dinc\u0103Ra\u021b
1694396,65090,Du\u0161an\u0160vento
1694421,32597,RicardoAndrade Quaresma Bernardo
1694391,7850,Johan DanonDjourou-Gbadjere
1694398,101825,IgorSmolnikov
1694390,105330,R\u0103zvan Dinc\u0103Ra\u021b
1694399,8421,JonathanWilliams
1694428,69400,MilanBadelj
1694413,32923,VolkanBabacan
1694426,20938,ValonBehrami
1694440,231139,KingsleyComan
1694440,70093,Jo\u00e3o FilipeIria Santos Moutinho
1694417,62071,DarrenRandolph
1694395,64078,BekimBalaj
1694390,3276,AdilRami
1694399,7944,WayneRooney
1694411,3289,MehmetTopal
1694430,224593,JoshuaKimmich
1694406,105341,TarasStepanenko
1694417,48,JanVertonghen
1694423,15188,JulianBaumgartlinger
1694437,55983,RagnarSigur\u00f0sson
1694400,13484,BamideleAlli
1694439,7858,BacarySagna
1694403,14806,MarioG\u00f6tze
1694416,20628,GrazianoPell\u00e8
1694434,14798,\u0141ukaszPiszczek
1694424,8372,Zolt\u00e1nGera
1694436,14855,BenediktH\u00f6wedes
1694437,26010,OlivierGiroud
1694436,18669,JonasHector
1694405,18669,JonasHector
1694421,3322,Cristiano Ronaldodos Santos Aveiro
1694409,3341,GerardPiqu\u00e9 Bernab\u00e9u
1694421,62221,K\u00e1ri\u00c1rnason
1694429,8624,JamesMcCarthy
1694440,28907,Rapha\u00ebl Adelino Jos\u00e9Guerreiro
1694417,3429,ThibautCourtois
1694415,7905,RomeluLukaku Menama
1694420,3725,\u00c1d\u00e1mPint\u00e9r
1694426,99452,ArkadiuszMilik
1694432,21095,MatteoDarmian
1694437,25381,HugoLloris
1694414,8346,WesleyHoolahan
1694404,241566,ViktorKovalenko
1694427,7870,AaronRamsey
1694428,211885,Andr\u00e9 FilipeTavares Gomes
1694425,208716,AlessandroSch\u00f6pf
1694419,7905,RomeluLukaku Menama
1694400,7960,Martin\u0160krtel
1694440,231139,KingsleyComan
